epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5296,1.11785,2.9351,1.40934,0.00375,1,0.05375,0.02967,0.71896,3.29395,1.25683,2e-05,2e-05,2e-05
2,17.7306,1.1961,2.93987,1.4551,0.00375,1,0.11386,0.06857,0.61878,3.23254,1.15062,5.8812e-05,5.8812e-05,5.8812e-05
3,23.8804,1.04613,2.78485,1.33877,0.00375,1,0.51024,0.28438,0.58228,3.15708,1.06417,9.604e-05,9.604e-05,9.604e-05
4,29.9503,1.14317,2.68122,1.40092,0.00375,1,0.72971,0.47574,0.60711,3.10435,1.07909,0.000131684,0.000131684,0.000131684
5,35.9927,0.92606,2.1947,1.23829,0.00375,1,0.7137,0.48906,0.65065,3.05088,1.05656,0.000165744,0.000165744,0.000165744
6,42.0443,0.99043,1.85581,1.25841,0.00375,1,0.74824,0.50487,0.65304,2.92413,1.07753,0.00019822,0.00019822,0.00019822
7,48.0544,0.96424,1.64999,1.25325,0.73371,0.30799,0.69124,0.53625,0.73018,2.76554,1.16351,0.000229112,0.000229112,0.000229112
8,54.0499,1.03582,1.72156,1.25351,0.71477,0.41897,0.68884,0.45177,0.88477,2.85372,1.3105,0.00025842,0.00025842,0.00025842
9,60.0696,0.93707,1.69716,1.20862,0.70959,0.22222,0.54929,0.39462,0.93282,2.97851,1.37411,0.000286144,0.000286144,0.000286144
10,66.1642,0.78529,1.5287,1.15581,0.77424,0.27778,0.6837,0.44567,0.8683,2.90894,1.32443,0.000312284,0.000312284,0.000312284
11,72.2222,0.84323,1.65255,1.22263,0.9226,0.38889,0.75664,0.52786,0.78101,2.74156,1.22611,0.00033684,0.00033684,0.00033684
12,78.3341,0.79,1.32888,1.17088,0.82724,0.33333,0.7159,0.5308,0.72528,2.75582,1.18412,0.000359812,0.000359812,0.000359812
13,84.4072,0.86536,1.5602,1.15444,0.77121,0.33333,0.62913,0.45952,0.74619,2.76392,1.15409,0.0003812,0.0003812,0.0003812
14,90.3872,0.98024,1.62801,1.35454,0.62267,0.33333,0.60412,0.42416,0.80494,2.79318,1.17145,0.000401004,0.000401004,0.000401004
15,96.4452,0.80032,1.4149,1.12452,0.60452,0.34023,0.66588,0.44867,0.73442,2.76334,1.13338,0.000419224,0.000419224,0.000419224
16,102.564,0.88522,1.58947,1.22778,0.65014,0.44444,0.74627,0.51243,0.74599,2.62425,1.14813,0.00043586,0.00043586,0.00043586
17,108.702,1.00778,1.33172,1.14735,0.73968,0.78975,0.853,0.59881,0.75794,2.41886,1.17337,0.000450912,0.000450912,0.000450912
18,114.95,0.7898,1.20728,1.07335,0.86839,0.73371,0.88977,0.68783,0.77065,2.31432,1.21067,0.00046438,0.00046438,0.00046438
19,121.093,0.78893,1.19929,1.08886,0.87952,0.81193,0.88869,0.69855,0.77425,2.23374,1.23402,0.000476264,0.000476264,0.000476264
20,127.235,0.88886,1.11702,1.11947,0.78013,0.77778,0.85845,0.63737,0.82802,2.31346,1.19211,0.000486564,0.000486564,0.000486564
21,133.223,0.76464,1.10014,1.05169,0.77093,0.74866,0.79656,0.59328,0.93251,2.48154,1.26086,0.00049528,0.00049528,0.00049528
22,139.252,0.85667,1.23684,1.14795,0.76688,0.54876,0.77377,0.55683,1.04398,2.67205,1.37847,0.000502412,0.000502412,0.000502412
23,145.309,0.77435,1.10052,1.0673,0.82334,0.51891,0.7437,0.53714,1.03735,2.76459,1.41537,0.00050796,0.00050796,0.00050796
24,151.372,0.88701,1.1857,1.12247,0.78824,0.38889,0.70556,0.51232,0.99991,2.77066,1.3973,0.000511924,0.000511924,0.000511924
25,157.397,0.80991,1.0738,1.06733,0.73448,0.46207,0.71633,0.47832,0.99552,2.73666,1.38235,0.000514304,0.000514304,0.000514304
26,163.481,0.87789,1.13641,1.07187,0.76791,0.55175,0.77302,0.46778,1.05305,2.69996,1.43688,0.0005151,0.0005151,0.0005151
27,169.532,0.72451,1.11268,1.07478,0.89131,0.77778,0.89272,0.55987,1.0963,2.42734,1.46771,0.000514312,0.000514312,0.000514312
28,175.56,0.79159,1.01518,1.07785,0.89131,0.77778,0.89272,0.55987,1.0963,2.42734,1.46771,0.00051194,0.00051194,0.00051194
29,181.517,0.74221,0.99611,1.03446,0.97934,0.88889,0.95853,0.62485,1.11539,2.15565,1.50346,0.000507984,0.000507984,0.000507984
30,187.655,0.81869,1.07486,1.11742,1,0.83221,0.96525,0.63507,1.07622,2.02515,1.4782,0.000502444,0.000502444,0.000502444
31,193.578,0.74658,1.1269,1.12518,1,0.83221,0.96525,0.63507,1.07622,2.02515,1.4782,0.00049532,0.00049532,0.00049532
32,199.6,0.79,1.12047,1.15073,0.89171,0.91565,0.95711,0.67352,0.9415,1.92701,1.43212,0.000486612,0.000486612,0.000486612
33,205.616,0.75239,1.0308,1.05227,0.89425,0.93979,0.94456,0.6859,0.89822,1.99181,1.48237,0.00047632,0.00047632,0.00047632
34,211.651,0.69444,0.90572,1.03711,0.89425,0.93979,0.94456,0.6859,0.89822,1.99181,1.48237,0.000464444,0.000464444,0.000464444
35,217.694,0.65032,0.92511,1.01385,0.86263,0.94444,0.93339,0.67415,0.86079,2.02495,1.4076,0.000450984,0.000450984,0.000450984
36,223.743,0.70493,0.99424,1.0261,0.84904,0.93769,0.91461,0.7034,0.78766,2.00008,1.32676,0.00043594,0.00043594,0.00043594
37,229.671,0.6746,0.9928,1.04422,0.84904,0.93769,0.91461,0.7034,0.78766,2.00008,1.32676,0.000419312,0.000419312,0.000419312
38,235.767,0.76108,0.98286,1.12504,0.84628,0.94444,0.91501,0.70059,0.75923,1.92461,1.26222,0.0004011,0.0004011,0.0004011
39,241.793,0.75852,1.01674,1.06077,0.84717,0.94444,0.91461,0.71402,0.78267,1.92231,1.25397,0.000381304,0.000381304,0.000381304
40,247.776,0.68822,0.88751,1.03828,0.84717,0.94444,0.91461,0.71402,0.78267,1.92231,1.25397,0.000359924,0.000359924,0.000359924
41,253.718,0.66739,1.134,1.03469,0.81485,0.88889,0.91333,0.69761,0.82537,1.92485,1.28641,0.00033696,0.00033696,0.00033696
42,259.645,0.58541,1.1732,1.02259,0.87996,0.83333,0.91055,0.70123,0.85289,1.9238,1.3035,0.000312412,0.000312412,0.000312412
43,265.501,0.63198,1.35141,1.03931,0.87996,0.83333,0.91055,0.70123,0.85289,1.9238,1.3035,0.00028628,0.00028628,0.00028628
44,271.401,0.56632,1.09123,0.96592,0.93734,0.83118,0.92178,0.69135,0.91568,1.91141,1.34319,0.000258564,0.000258564,0.000258564
45,277.29,0.52793,1.00466,0.9286,0.93734,0.83118,0.92178,0.69135,0.91568,1.91141,1.34319,0.000229264,0.000229264,0.000229264
46,283.31,0.59062,1.04752,0.98762,0.97899,0.77778,0.92506,0.69499,0.93715,1.90633,1.34154,0.00019838,0.00019838,0.00019838
47,289.275,0.57486,1.04665,0.99,0.97899,0.77778,0.92506,0.69499,0.93715,1.90633,1.34154,0.000165912,0.000165912,0.000165912
48,295.158,0.53909,1.04169,0.97228,0.9593,0.77778,0.939,0.69057,0.94458,1.92284,1.31645,0.00013186,0.00013186,0.00013186
49,301.059,0.54363,0.99306,0.90312,0.9593,0.77778,0.939,0.69057,0.94458,1.92284,1.31645,9.6224e-05,9.6224e-05,9.6224e-05
50,307.048,0.45984,0.97244,0.95067,1,0.85942,0.9492,0.69813,0.93891,1.88267,1.30448,5.9004e-05,5.9004e-05,5.9004e-05
